forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_desertification_risk
56.0,59.4,6.1,80.10000000000001,0.43018259935553177,0.43180250098882567
16.0,8.9,-44.4,130.6,0.7013963480128894,0.7016271796611012
33.7,34.6,2.7,83.5,0.44844253490870034,0.44639669133016413
22.7,31.2,37.4,48.800000000000004,0.2620837808807734,0.2639898138970497
0.2,0.2,0.0,86.2,0.4629430719656284,0.4615007606133362
18.6,18.7,0.5,85.7,0.4602577873254565,0.45783810083286614
34.1,34.7,1.8,84.4,0.45327604726100973,0.45118153536607586
53.6,50.1,-6.5,92.7,0.49785177228786254,0.49553195361492575
63.5,55.6,-12.4,98.60000000000001,0.5295381310418905,0.5258230297544347
14.3,15.7,9.8,76.4,0.41031149301826,0.4077766283084808
0.2,0.3,50.0,36.2,0.19441460794844256,0.1973630902383906
63.8,63.8,0.0,86.2,0.4629430719656284,0.4635480283032404
40.8,44.4,8.8,77.4,0.4156820622986037,0.4152440769820761
55.3,50.3,-9.0,95.2,0.5112781954887219,0.5084517059585666
0.1,0.0,-100.0,186.2,1.0,0.9899032988005948
32.5,28.2,-13.2,99.4,0.5338345864661654,0.5312200887625153
93.2,87.3,-6.3,92.5,0.4967776584317938,0.4976126572741032
9.2,8.7,-5.4,91.60000000000001,0.4919441460794845,0.49022682254375194
52.8,56.1,6.3,79.9,0.429108485499463,0.43015570792906954
27.5,28.9,5.1,81.10000000000001,0.43555316863587545,0.4333056848747917
16.4,15.1,-7.9,94.10000000000001,0.5053705692803437,0.5034122248289717
0.1,0.1,0.0,86.2,0.4629430719656284,0.4615094330888335
55.1,62.4,13.2,73.0,0.39205155746509135,0.39635328849211315
73.7,73.7,0.0,86.2,0.4629430719656284,0.46517861271239436
27.9,31.5,12.9,73.3,0.3936627282491944,0.3920216235951973
97.7,96.6,-1.1,87.3,0.46885069817400643,0.4751770936878227
42.8,43.1,0.7,85.5,0.45918367346938777,0.45755961280217805
92.0,91.3,-0.8,87.0,0.4672395273899034,0.47257917296773344
35.3,24.0,-32.0,118.2,0.6348012889366274,0.6319983233525907
39.7,40.6,2.3,83.9,0.45059076262083786,0.44894115987626504
32.5,32.7,0.6,85.60000000000001,0.45972073039742223,0.4574677563423045
38.9,35.1,-9.8,96.0,0.5155746509129968,0.5127847152067452
27.9,30.3,8.6,77.60000000000001,0.4167561761546725,0.4147417409877202
52.1,52.1,0.0,86.2,0.4629430719656284,0.46205234321211364
42.8,44.4,3.7,82.5,0.44307196562835666,0.4419468214011827
44.4,51.9,16.9,69.30000000000001,0.3721804511278196,0.37465905524421783
39.3,32.9,-16.3,102.5,0.550483351235231,0.5473794622478828
2.9,5.4,86.2,0.0,0.0,0.02299592373498338
28.2,25.2,-10.6,96.8,0.5198711063372717,0.5174528970119078
76.4,70.4,-7.9,94.10000000000001,0.5053705692803437,0.5036581423952352
94.3,93.6,-0.7,86.9,0.466702470461869,0.4726413051099997
13.8,12.6,-8.7,94.9,0.5096670247046188,0.5079079254543005
60.6,56.8,-6.3,92.5,0.4967776584317938,0.4948089622101043
21.4,22.5,5.1,81.10000000000001,0.43555316863587545,0.433089481271855
0.3,0.5,66.7,19.5,0.10472610096670247,0.1146292565667778
22.7,24.3,7.0,79.2,0.4253490870032224,0.4229541918326015
53.9,49.1,-8.9,95.10000000000001,0.5107411385606875,0.5079239017967464
5.7,6.6,15.8,70.4,0.3780880773361977,0.3757516511451019
1.9,1.9,0.0,86.2,0.4629430719656284,0.4613589432872821
9.2,11.4,23.9,62.300000000000004,0.3345864661654136,0.3324871301634843
6.1,6.1,0.0,86.2,0.4629430719656284,0.4610542820935625
7.1,6.5,-8.5,94.7,0.50859291084855,0.5072546804170813
28.3,32.3,14.1,72.10000000000001,0.387218045112782,0.38575653493980144
48.1,55.1,14.6,71.60000000000001,0.38453276047261015,0.38728952257988947
68.2,68.4,0.3,85.9,0.4613319011815253,0.46276717792586675
5.0,5.0,0.0,86.2,0.4629430719656284,0.4611277587884598
1.1,1.1,0.0,86.2,0.4629430719656284,0.46142435849111585
1.2,1.3,8.3,77.9,0.4183673469387756,0.4164344649448365
7.0,6.3,-10.0,96.2,0.5166487647690655,0.5154415254602148
1.5,1.5,0.0,86.2,0.4629430719656284,0.46139135667777287
0.3,0.4,33.3,52.900000000000006,0.28410311493018264,0.2833503891970016
6.2,6.9,11.3,74.9,0.4022556390977444,0.399906171737196
75.5,71.9,-4.8,91.0,0.4887218045112782,0.488551945799954
52.1,54.8,5.2,81.0,0.43501611170784105,0.43558573878169893
13.5,14.0,3.7,82.5,0.44307196562835666,0.4406563200188821
1.1,1.1,0.0,86.2,0.4629430719656284,0.46142435849111585
85.4,79.1,-7.4,93.60000000000001,0.5026852846401719,0.5019198318059409
0.1,0.1,0.0,86.2,0.4629430719656284,0.4615094330888335
41.9,41.9,0.0,86.2,0.4629430719656284,0.4611482875643568
32.2,35.1,9.0,77.2,0.41460794844253496,0.4130375521880233
33.7,34.5,2.4,83.8,0.45005370569280345,0.44798378323533894
22.4,21.4,-4.5,90.7,0.4871106337271751,0.4847537018378242
32.7,23.8,-27.2,113.4,0.6090225563909775,0.6065460816962108
59.9,58.2,-2.8,89.0,0.4779806659505908,0.47706795181557593
2.7,2.7,0.0,86.2,0.4629430719656284,0.46129588431212365
10.9,10.9,0.0,86.2,0.4629430719656284,0.4607864471231927
1.1,1.4,27.3,58.900000000000006,0.31632653061224497,0.3148243907448153
52.2,52.2,0.0,86.2,0.4629430719656284,0.46206307711543226
46.0,49.3,7.2,79.0,0.4242749731471536,0.4243405369458374
0.4,0.3,-25.0,111.2,0.5972073039742213,0.59781065559905
20.7,19.1,-7.7,93.9,0.504296455424275,0.5021183325707893
41.9,37.1,-11.5,97.7,0.5247046186895812,0.5217147465590316
35.2,33.8,-4.0,90.2,0.48442534908700324,0.4819812963928459
91.2,92.0,0.9,85.3,0.458109559613319,0.4647949330880635
9.2,9.1,-1.1,87.3,0.46885069817400643,0.46684440142802497
46.5,61.5,32.3,53.900000000000006,0.2894736842105264,0.29966725587789644
25.0,25.0,0.0,86.2,0.4629430719656284,0.4605011767913213
12.3,12.9,4.9,81.3,0.43662728249194416,0.4342048139807638
52.4,46.7,-10.9,97.10000000000001,0.521482277121375,0.51829667005093
53.4,43.7,-18.2,104.4,0.560687432867884,0.5563135983227777
9.8,8.1,-17.3,103.5,0.5558539205155747,0.5550615698427269
41.7,41.6,-0.2,86.4,0.46401718582169715,0.46218067136939733
10.6,11.0,3.8,82.4,0.4425349087003223,0.4402098278430272
45.8,45.8,0.0,86.2,0.4629430719656284,0.46144903206375554
37.4,37.6,0.5,85.7,0.4602577873254565,0.45823545031617907
44.9,28.3,-37.0,123.2,0.6616541353383459,0.6570186973897555
1.0,0.9,-10.0,96.2,0.5166487647690655,0.5158972601223056
27.3,23.7,-13.2,99.4,0.5338345864661654,0.5315228004709257
72.4,72.6,0.3,85.9,0.4613319011815253,0.4635002054502192
12.2,12.2,0.0,86.2,0.4629430719656284,0.46072875554682413
37.7,39.7,5.3,80.9,0.4344790547798067,0.4330466376237657
69.5,53.0,-23.7,109.9,0.5902255639097745,0.582916449059537
39.8,40.1,0.8,85.4,0.45864661654135347,0.4568103528332509
5.9,4.8,-18.6,104.80000000000001,0.5628356605800215,0.5624633362540362
86.0,90.0,4.7,81.5,0.4377013963480129,0.4463431780129964
59.8,56.8,-5.0,91.2,0.489795918367347,0.48817624913828694
80.1,79.2,-1.1,87.3,0.46885069817400643,0.4715616881485286
57.9,40.5,-30.1,116.30000000000001,0.6245972073039743,0.617984487678357
58.8,56.5,-3.9,90.10000000000001,0.48388829215896895,0.48253195357332845
24.5,24.1,-1.6,87.8,0.4715359828141783,0.46909585937674236
74.5,74.5,0.0,86.2,0.4629430719656284,0.46532438182445135
29.6,31.0,4.7,81.5,0.4377013963480129,0.43554830150397883
35.9,36.2,0.8,85.4,0.45864661654135347,0.45656829418499034
48.4,56.0,15.7,70.5,0.37862513426423205,0.3818747035302018
67.1,64.4,-4.0,90.2,0.48442534908700324,0.4837678783176965
10.5,11.8,12.4,73.8,0.3963480128893663,0.39384200282226034
36.4,39.2,7.7,78.5,0.42158968850698175,0.4203433815993781
27.7,30.1,8.7,77.5,0.41621911922663807,0.4141955792041817
49.4,49.8,0.8,85.4,0.45864661654135347,0.4576608868720332
11.6,11.2,-3.4,89.60000000000001,0.4812030075187971,0.47921180684932485
8.5,8.5,0.0,86.2,0.4629430719656284,0.46090960316687324
5.1,5.1,0.0,86.2,0.4629430719656284,0.46112089342032403
42.3,42.3,0.0,86.2,0.4629430719656284,0.46117654959669385
34.4,34.0,-1.2,87.4,0.4693877551020409,0.4670926412743416
24.8,24.8,0.0,86.2,0.4629430719656284,0.4604999655061043
7.3,5.3,-27.4,113.6,0.6100966702470462,0.610357048758272
73.2,73.2,0.0,86.2,0.4629430719656284,0.46508854909957786
60.5,57.1,-5.6,91.8,0.4930182599355532,0.4912582770901207
16.7,16.7,0.0,86.2,0.4629430719656284,0.4605781721033114
60.8,54.1,-11.0,97.2,0.5220193340494093,0.5187215308742709
0.5,0.5,0.0,86.2,0.4629430719656284,0.461474963081728
46.0,41.9,-8.9,95.10000000000001,0.5107411385606875,0.5079179200449934
28.1,31.1,10.7,75.5,0.4054779806659506,0.40364865691975005
73.3,73.3,0.0,86.2,0.4629430719656284,0.46510649751932165
40.6,35.1,-13.5,99.7,0.5354457572502686,0.5323868648824929
25.4,21.7,-14.6,100.8,0.5413533834586466,0.5392112644107881
10.9,10.9,0.0,86.2,0.4629430719656284,0.4607864471231927
39.5,40.1,1.5,84.7,0.45488721804511284,0.45311778267246516
61.2,61.5,0.5,85.7,0.4602577873254565,0.46067946795983905
90.7,90.1,-0.7,86.9,0.466702470461869,0.471845658427123
12.0,9.5,-20.8,107.0,0.5746509129967777,0.5739738915749605
14.7,14.1,-4.1,90.3,0.4849624060150376,0.4828621034103232
11.3,11.3,0.0,86.2,0.4629430719656284,0.46076801995175554
34.3,37.2,8.5,77.7,0.4172932330827068,0.41590156993320393
34.5,34.2,-0.9,87.10000000000001,0.4677765843179378,0.4655043612957622
1.5,1.7,13.3,72.9,0.391514500537057,0.38945689083000656
11.8,9.9,-16.1,102.30000000000001,0.5494092373791623,0.548360348200119
98.3,97.4,-0.9,87.10000000000001,0.4677765843179378,0.47444521846137044
69.1,68.7,-0.6,86.8,0.4661654135338346,0.4673068213618551
30.3,32.1,5.9,80.3,0.4312567132116004,0.42922959525994464
2.4,2.8,16.7,69.5,0.3732545649838883,0.37113380337857815
2.9,3.1,6.9,79.3,0.42588614393125673,0.4238664323174429
37.2,38.9,4.6,81.60000000000001,0.4382384532760473,0.43666328292274714
63.8,61.9,-3.0,89.2,0.47905477980665956,0.4784629064742728
23.3,22.2,-4.7,90.9,0.48818474758324387,0.48581058336132343
12.4,12.4,0.0,86.2,0.4629430719656284,0.46072044347895946
46.1,44.5,-3.5,89.7,0.48174006444683143,0.47967238741613405
4.3,4.5,4.7,81.5,0.4377013963480129,0.4356748978484578
26.2,28.9,10.3,75.9,0.4076262083780881,0.40559451506506805
