forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_risk
1.5,1.5,0.0,86.2,0.4629430719656284,0.46104489062494514
0.3,0.4,33.3,52.900000000000006,0.28410311493018264,0.2775575082000604
6.2,6.9,11.3,74.9,0.4022556390977444,0.39716757990389817
75.5,71.9,-4.8,91.0,0.4887218045112782,0.48670341647609316
52.1,54.8,5.2,81.0,0.43501611170784105,0.43259574433326636
13.5,14.0,3.7,82.5,0.44307196562835666,0.43931827375072785
1.1,1.1,0.0,86.2,0.4629430719656284,0.4610843209093865
85.4,79.1,-7.4,93.60000000000001,0.5026852846401719,0.5003499136025009
0.1,0.1,0.0,86.2,0.4629430719656284,0.4611850837023184
41.9,41.9,0.0,86.2,0.4629430719656284,0.45941328907905454
32.2,35.1,9.0,77.2,0.41460794844253496,0.4102431987244479
33.7,34.5,2.4,83.8,0.45005370569280345,0.44622665536814804
22.4,21.4,-4.5,90.7,0.4871106337271751,0.4846838404975116
32.7,23.8,-27.2,113.4,0.6090225563909775,0.6088622115313465
59.9,58.2,-2.8,89.0,0.4779806659505908,0.47516565367336955
2.7,2.7,0.0,86.2,0.4629430719656284,0.4609295474804602
10.9,10.9,0.0,86.2,0.4629430719656284,0.4602531917682405
1.1,1.4,27.3,58.900000000000006,0.31632653061224497,0.3095966414910425
52.2,52.2,0.0,86.2,0.4629430719656284,0.4598974289940294
46.0,49.3,7.2,79.0,0.4242749731471536,0.42128104274061584
0.4,0.3,-25.0,111.2,0.5972073039742213,0.6030417800530612
20.7,19.1,-7.7,93.9,0.504296455424275,0.5027127151535831
41.9,37.1,-11.5,97.7,0.5247046186895812,0.5217679131215477
35.2,33.8,-4.0,90.2,0.48442534908700324,0.48121309880219476
91.2,92.0,0.9,85.3,0.458109559613319,0.4629281334073482
9.2,9.1,-1.1,87.3,0.46885069817400643,0.46657928858096026
46.5,61.5,32.3,53.900000000000006,0.2894736842105264,0.2958702135652962
25.0,25.0,0.0,86.2,0.4629430719656284,0.4595154280761695
12.3,12.9,4.9,81.3,0.43662728249194416,0.4326514614631768
52.4,46.7,-10.9,97.10000000000001,0.521482277121375,0.5178769646176968
53.4,43.7,-18.2,104.4,0.560687432867884,0.5567477327617656
9.8,8.1,-17.3,103.5,0.5558539205155747,0.5581098804275276
41.7,41.6,-0.2,86.4,0.46401718582169715,0.4605017253008989
10.6,11.0,3.8,82.4,0.4425349087003223,0.43890829653885755
45.8,45.8,0.0,86.2,0.4629430719656284,0.4595406014310144
37.4,37.6,0.5,85.7,0.4602577873254565,0.45661439747633764
44.9,28.3,-37.0,123.2,0.6616541353383459,0.6579523230483747
