forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_risk
0.2,0.3,50.0,36.2,0.19441460794844256,0.1928001862316932
63.8,63.8,0.0,86.2,0.4629430719656284,0.46225767610525453
40.8,44.4,8.8,77.4,0.4156820622986037,0.4140494264473961
55.3,50.3,-9.0,95.2,0.5112781954887219,0.5096837555965661
0.1,0.0,-100.0,186.2,1.0,0.9972585544598217
32.5,28.2,-13.2,99.4,0.5338345864661654,0.5328790656703131
93.2,87.3,-6.3,92.5,0.4967776584317938,0.49698288062142604
9.2,8.7,-5.4,91.60000000000001,0.4919441460794845,0.49121796235673654
52.8,56.1,6.3,79.9,0.429108485499463,0.42828477375838314
27.5,28.9,5.1,81.10000000000001,0.43555316863587545,0.4333957812424324
16.4,15.1,-7.9,94.10000000000001,0.5053705692803437,0.5046425114650823
0.1,0.1,0.0,86.2,0.4629430719656284,0.4618628610791504
55.1,62.4,13.2,73.0,0.39205155746509135,0.3924554946100534
73.7,73.7,0.0,86.2,0.4629430719656284,0.4630662496401348
27.9,31.5,12.9,73.3,0.3936627282491944,0.3912185215063453
97.7,96.6,-1.1,87.3,0.46885069817400643,0.4714976191220095
42.8,43.1,0.7,85.5,0.45918367346938777,0.45752035877117436
92.0,91.3,-0.8,87.0,0.4672395273899034,0.4691682598674124
35.3,24.0,-32.0,118.2,0.6348012889366274,0.6345667568240868
39.7,40.6,2.3,83.9,0.45059076262083786,0.4488352052393463
32.5,32.7,0.6,85.60000000000001,0.45972073039742223,0.4578708623540465
38.9,35.1,-9.8,96.0,0.5155746509129968,0.5141759796198104
27.9,30.3,8.6,77.60000000000001,0.4167561761546725,0.41443837445143794
52.1,52.1,0.0,86.2,0.4629430719656284,0.4615972685355987
42.8,44.4,3.7,82.5,0.44307196562835666,0.44142590703999607
44.4,51.9,16.9,69.30000000000001,0.3721804511278196,0.37157725023686783
39.3,32.9,-16.3,102.5,0.550483351235231,0.5493684439085429
2.9,5.4,86.2,0.0,0.0,0.014468354732582234
28.2,25.2,-10.6,96.8,0.5198711063372717,0.5189037187899846
76.4,70.4,-7.9,94.10000000000001,0.5053705692803437,0.504233964419513
94.3,93.6,-0.7,86.9,0.466702470461869,0.4690585696512733
13.8,12.6,-8.7,94.9,0.5096670247046188,0.5091705883726244
60.6,56.8,-6.3,92.5,0.4967776584317938,0.495343577476691
21.4,22.5,5.1,81.10000000000001,0.43555316863587545,0.4333222051583215
0.3,0.5,66.7,19.5,0.10472610096670247,0.10823103942286555
22.7,24.3,7.0,79.2,0.4253490870032224,0.4229856989031556
53.9,49.1,-8.9,95.10000000000001,0.5107411385606875,0.5091361026089796
5.7,6.6,15.8,70.4,0.3780880773361977,0.3749337234450958
1.9,1.9,0.0,86.2,0.4629430719656284,0.46177340992367777
9.2,11.4,23.9,62.300000000000004,0.3345864661654136,0.33095818441238906
6.1,6.1,0.0,86.2,0.4629430719656284,0.46158753111844864
7.1,6.5,-8.5,94.7,0.50859291084855,0.5084322091889132
28.3,32.3,14.1,72.10000000000001,0.387218045112782,0.38478069254003894
48.1,55.1,14.6,71.60000000000001,0.38453276047261015,0.38415874619912155
68.2,68.4,0.3,85.9,0.4613319011815253,0.461028627658867
5.0,5.0,0.0,86.2,0.4629430719656284,0.46163315295876606
1.1,1.1,0.0,86.2,0.4629430719656284,0.4618124333114243
1.2,1.3,8.3,77.9,0.4183673469387756,0.4161188521216458
7.0,6.3,-10.0,96.2,0.5166487647690655,0.5167206942757752
1.5,1.5,0.0,86.2,0.4629430719656284,0.46179277553164305
0.3,0.4,33.3,52.900000000000006,0.28410311493018264,0.28059230091674914
6.2,6.9,11.3,74.9,0.4022556390977444,0.39950923038746855
75.5,71.9,-4.8,91.0,0.4887218045112782,0.4880547870770568
52.1,54.8,5.2,81.0,0.43501611170784105,0.4340228577731423
13.5,14.0,3.7,82.5,0.44307196562835666,0.4410290979276864
1.1,1.1,0.0,86.2,0.4629430719656284,0.4618124333114243
85.4,79.1,-7.4,93.60000000000001,0.5026852846401719,0.5020614363681284
0.1,0.1,0.0,86.2,0.4629430719656284,0.4618628610791504
41.9,41.9,0.0,86.2,0.4629430719656284,0.4612588556144511
32.2,35.1,9.0,77.2,0.41460794844253496,0.4124616897924316
33.7,34.5,2.4,83.8,0.45005370569280345,0.4481446402214917
22.4,21.4,-4.5,90.7,0.4871106337271751,0.4857664378095196
32.7,23.8,-27.2,113.4,0.6090225563909775,0.6089200313849528
59.9,58.2,-2.8,89.0,0.4779806659505908,0.47680520685019345
2.7,2.7,0.0,86.2,0.4629430719656284,0.4617355522321066
10.9,10.9,0.0,86.2,0.4629430719656284,0.4614134892826328
1.1,1.4,27.3,58.900000000000006,0.31632653061224497,0.31271550637944556
52.2,52.2,0.0,86.2,0.4629430719656284,0.4616016414931515
46.0,49.3,7.2,79.0,0.4242749731471536,0.4229593943538313
0.4,0.3,-25.0,111.2,0.5972073039742213,0.6001751316240058
20.7,19.1,-7.7,93.9,0.504296455424275,0.5033552695017022
41.9,37.1,-11.5,97.7,0.5247046186895812,0.5232882602994964
35.2,33.8,-4.0,90.2,0.48442534908700324,0.48280907464400363
91.2,92.0,0.9,85.3,0.458109559613319,0.4606574539935843
9.2,9.1,-1.1,87.3,0.46885069817400643,0.4675259370200976
46.5,61.5,32.3,53.900000000000006,0.2894736842105264,0.292987101713886
25.0,25.0,0.0,86.2,0.4629430719656284,0.4611334602562515
12.3,12.9,4.9,81.3,0.43662728249194416,0.4344691753100385
52.4,46.7,-10.9,97.10000000000001,0.521482277121375,0.5198464279288583
53.4,43.7,-18.2,104.4,0.560687432867884,0.558951387510599
9.8,8.1,-17.3,103.5,0.5558539205155747,0.5568213414661478
41.7,41.6,-0.2,86.4,0.46401718582169715,0.4623371983460848
10.6,11.0,3.8,82.4,0.4425349087003223,0.4405389800855417
45.8,45.8,0.0,86.2,0.4629430719656284,0.4613635660965526
37.4,37.6,0.5,85.7,0.4602577873254565,0.4584702073362527
44.9,28.3,-37.0,123.2,0.6616541353383459,0.660154164764144
1.0,0.9,-10.0,96.2,0.5166487647690655,0.5170915408600688
27.3,23.7,-13.2,99.4,0.5338345864661654,0.5331379089863918
72.4,72.6,0.3,85.9,0.4613319011815253,0.4614084398790572
12.2,12.2,0.0,86.2,0.4629430719656284,0.4613732939993215
37.7,39.7,5.3,80.9,0.4344790547798067,0.432624598347394
69.5,53.0,-23.7,109.9,0.5902255639097745,0.5875555133750118
39.8,40.1,0.8,85.4,0.45864661654135347,0.45691291778273624
5.9,4.8,-18.6,104.80000000000001,0.5628356605800215,0.564308877042802
86.0,90.0,4.7,81.5,0.4377013963480129,0.44096234384985944
59.8,56.8,-5.0,91.2,0.489795918367347,0.48844611937778903
80.1,79.2,-1.1,87.3,0.46885069817400643,0.46935854893334117
57.9,40.5,-30.1,116.30000000000001,0.6245972073039743,0.6221580702712101
58.8,56.5,-3.9,90.10000000000001,0.48388829215896895,0.48257868254981184
24.5,24.1,-1.6,87.8,0.4715359828141783,0.46987130394608534
74.5,74.5,0.0,86.2,0.4629430719656284,0.46314219867762596
29.6,31.0,4.7,81.5,0.4377013963480129,0.435604343108966
35.9,36.2,0.8,85.4,0.45864661654135347,0.456825865138961
48.4,56.0,15.7,70.5,0.37862513426423205,0.37844470064624935
67.1,64.4,-4.0,90.2,0.48442534908700324,0.4834564815797617
10.5,11.8,12.4,73.8,0.3963480128893663,0.3934421265148332
36.4,39.2,7.7,78.5,0.42158968850698175,0.419669991795938
27.7,30.1,8.7,77.5,0.41621911922663807,0.413892377529807
49.4,49.8,0.8,85.4,0.45864661654135347,0.45721699375032965
11.6,11.2,-3.4,89.60000000000001,0.4812030075187971,0.48009554605723825
8.5,8.5,0.0,86.2,0.4629430719656284,0.46149544489645533
5.1,5.1,0.0,86.2,0.4629430719656284,0.4616289162952378
42.3,42.3,0.0,86.2,0.4629430719656284,0.4612682293004353
34.4,34.0,-1.2,87.4,0.4693877551020409,0.46763402015961336
24.8,24.8,0.0,86.2,0.4629430719656284,0.4611350304352544
7.3,5.3,-27.4,113.6,0.6100966702470462,0.612724052079795
73.2,73.2,0.0,86.2,0.4629430719656284,0.4630196050035195
60.5,57.1,-5.6,91.8,0.4930182599355532,0.4916490329886326
16.7,16.7,0.0,86.2,0.4629430719656284,0.4612567638862654
60.8,54.1,-11.0,97.2,0.5220193340494093,0.5203439047449125
0.5,0.5,0.0,86.2,0.4629430719656284,0.4618424694840715
46.0,41.9,-8.9,95.10000000000001,0.5107411385606875,0.5091869690495201
28.1,31.1,10.7,75.5,0.4054779806659506,0.4030975397149149
73.3,73.3,0.0,86.2,0.4629430719656284,0.4630288833851546
40.6,35.1,-13.5,99.7,0.5354457572502686,0.5341634738839713
25.4,21.7,-14.6,100.8,0.5413533834586466,0.5408945644133918
10.9,10.9,0.0,86.2,0.4629430719656284,0.4614134892826328
39.5,40.1,1.5,84.7,0.45488721804511284,0.45312625713451005
61.2,61.5,0.5,85.7,0.4602577873254565,0.45945851820499073
90.7,90.1,-0.7,86.9,0.466702470461869,0.4684999203717051
12.0,9.5,-20.8,107.0,0.5746509129967777,0.575923472964293
